"time","sut.crane_angle","sut.control_force","sut.m_load","sut.desired_angle"
0,0,0,4,0
0.01,-1.7836888683524075e-5,0.5401255239037573,4,0
0.02,-7.109268904461451e-5,1.0863813348371243,4,0
0.03,-1.5949826880549533e-4,1.6385967924810476,4,0
0.04,-2.8280065726271245e-4,2.1966143651383456,4,0
0.05,-4.40644139011172e-4,2.7602162115225473,4,0
0.06,-6.327111418047953e-4,3.329213088934158,4,0
0.07,-8.587725688096554e-4,3.903471676845468,4,0
0.08,-0.0011184251906460382,4.482759659090178,4,0
0.09,-0.0014113991234758392,5.0669214426275975,4,0
0.1,-0.0017372859247793862,5.655732030322327,4,0
0.11,-0.0020957704002326607,6.249010378609026,4,0
0.12,-0.0024864736848435255,6.846553561247347,4,0
0.13,-0.0029089881198240603,7.448151406029175,4,0
0.14,-0.0033629666329079728,8.053608987363619,4,0
0.15,-0.003847989728033634,8.662734602463978,4,0
0.16,-0.004363683025654768,9.275328904176943,4,0
0.17,-0.004909657007617275,9.891200325742343,4,0
0.18,-0.005485505485331696,10.51016987165639,4,0
0.19,-0.006090843580843861,11.132040455604253,4,0
0.2,-0.006725260799479556,11.75663357265355,4,0
0.21,-0.007388350724101977,12.383767950712834,4,0
0.22,-0.00807970590194821,13.01325939903342,4,0
0.23,-0.008798908052343875,13.644913117873815,4,0
0.24,-0.009545539632722302,14.278547120869314,4,0
0.25,-0.010319177542919562,14.913975437312903,4,0
0.26,-0.011119390715825335,15.551019371556764,4,0
0.27,-0.011945745262608191,16.189497718714193,4,0
0.28,-0.012797803904627087,16.829227844951838,4,0
0.29,-0.013675125643107347,17.470028789124257,4,0
0.3,-0.014577271799532287,18.111717891646084,4,0
0.31,-0.015503791240030776,18.754116136792284,4,0
0.32,-0.016454231813024432,19.39704401727938,4,0
0.33,-0.017428142205822946,20.040333028713142,4,0
0.34,-0.018425065259734787,20.6838110906783,4,0
0.35,-0.019444538675685265,21.327304085603632,4,0
0.36,-0.02048609963279254,21.970640610282956,4,0
0.37,-0.021549290829909022,22.613645443987323,4,0
0.38,-0.02263364091636518,23.256151053495195,4,0
0.39,-0.023738679606048033,23.89798870732149,4,0
0.4,-0.024863941167742536,24.538998976422025,4,0
0.41,-0.026008954520066012,25.17902065598633,4,0
0.42,-0.027173243554108634,25.81789112629113,4,0
0.43,-0.02835633273526397,26.455450235072664,4,0
0.44,-0.029557749209782592,27.091532478052443,4,0
0.45,-0.030777012473842905,27.72598243171699,4,0
0.46,-0.03201364228168622,28.3586429398106,4,0
0.47,-0.033267164509363546,28.9893659389678,4,0
0.48,-0.03453710096389094,29.618002347215402,4,0
0.49,-0.03582296887646874,30.24440156113762,4,0
0.5,-0.037124286773363525,30.86841578752977,4,0
0.51,-0.03844057360011882,31.4898918085517,4,0
0.52,-0.039771345668260925,32.10868685941593,4,0
0.53,-0.04111611897282333,32.724656576836914,4,0
0.54,-0.04247441793326446,33.33766579056694,4,0
0.55,-0.043845763841701565,33.94757894577078,4,0
0.56,-0.04522967320781633,34.554258730779,4,0
0.57,-0.0466256650520695,35.15757106466597,4,0
0.58,-0.048033257560788904,35.7573762699979,4,0
0.59,-0.04945196986515074,36.35354563027972,4,0
0.6,-0.050881320701730945,36.94594892335513,4,0
0.61,-0.05232083933093031,37.53446486558042,4,0
0.62,-0.05377005304834616,38.118972501494596,4,0
0.63,-0.05522848405561204,38.69934904640862,4,0
0.64,-0.056695658337938985,39.27547521052196,4,0
0.65,-0.05817109961634026,39.84722572646495,4,0
0.66,-0.059654336242555596,40.414486956944145,4,0
0.67,-0.06114489604739166,40.977143738891726,4,0
0.68,-0.06264231888945293,41.535089460500636,4,0
0.69,-0.06414614405604697,42.088218485430566,4,0
0.7,-0.06565590554015896,42.63642331286813,4,0
0.71,-0.06717114227127556,43.179600129638516,4,0
0.72,-0.06869138932297761,43.71763883902463,4,0
