"time","sut.crane_angle","sut.control_force","sut.m_load","sut.desired_angle"
0,0,0,5,0
0.01,-2.2679000030750956e-5,0.686622429323091,5,0
0.02,-9.042321591924778e-5,1.3812491568181022,5,0
0.03,-2.029031362501432e-4,2.083669471117004,5,0
0.04,-3.597572333117564e-4,2.7936564344541726,5,0
0.05,-5.606022702490303e-4,3.5109740937425333,5,0
0.06,-8.050758595868964e-4,4.235405738048074,5,0
0.07,-0.0010928039408656862,4.966727993970436,5,0
0.08,-0.001423344866109844,5.704684293404348,5,0
0.09,-0.0017962988627818301,6.449038905975148,5,0
0.1,-0.0022111915548268233,7.199532345610432,5,0
0.11,-0.0026675933131236748,7.955918170207013,5,0
0.12,-0.003165033222857899,8.717953662019433,5,0
0.13,-0.003703061405115081,9.485391827101427,5,0
0.14,-0.004281210533043472,10.258001714749563,5,0
0.15,-0.004899021485133069,11.035542733003384,5,0
0.16,-0.005556015186407682,11.817779849165307,5,0
0.17,-0.006251713911895097,12.604478240951327,5,0
0.18,-0.006985635339428956,13.395404280688075,5,0
0.19,-0.007757291036884975,14.190325928414234,5,0
0.2,-0.008566181729044527,14.98900817837906,5,0
0.21,-0.009411807051716018,15.791220484853861,5,0
0.22,-0.01029366049082151,16.59673290925926,5,0
0.23,-0.011211227311128962,17.40531409075981,5,0
0.24,-0.012163979519238971,18.216726196893596,5,0
0.25,-0.013151392742467596,19.030741492182244,5,0
0.26,-0.014172932777520247,19.847129134071267,5,0
0.27,-0.015228066595590733,20.665663695222964,5,0
0.28,-0.01631625407310046,21.48611956000898,5,0
0.29,-0.01743694411039738,22.30826829442035,5,0
0.3,-0.018589582755090484,23.13188413292509,5,0
0.31,-0.019773625903527253,23.956749274616946,5,0
0.32,-0.0209885076536754,24.782639251010934,5,0
0.33,-0.022233662878464813,25.609333362941634,5,0
0.34,-0.023508526356788084,26.436613841357225,5,0
0.35,-0.02481253527785522,27.26426677170974,5,0
0.36,-0.026145111074889357,28.092075388533246,5,0
0.37,-0.027505675694773298,28.919826080784347,5,0
0.38,-0.028893656136936258,29.747308931638337,5,0
0.39,-0.03030847069052348,30.57431437713071,5,0
0.4,-0.03174953240158508,31.400634047925955,5,0
0.41,-0.033216253583314564,32.22606183846324,5,0
0.42,-0.03470805087053153,33.0503949080624,5,0
0.43,-0.03622433091346303,33.87343068399717,5,0
0.44,-0.03776450096756498,34.694969079895415,5,0
0.45,-0.039327967818924614,35.514812290073834,5,0
0.46,-0.04091413763417782,36.33276475382517,5,0
0.47,-0.042522413685163164,37.14863264423736,5,0
0.48,-0.04415219908767746,37.96222447877746,5,0
0.49,-0.045802896287699395,38.773351002212614,5,0
0.5,-0.047473907269313484,39.58182523099128,5,0
0.51,-0.04916463376263363,40.38746249762434,5,0
0.52,-0.05087447438889306,41.19007985999662,5,0
0.53,-0.052602820111848705,41.989495159497395,5,0
0.54,-0.054349075635665836,42.78553145907885,5,0
0.55,-0.05611263977410361,43.57801297413212,5,0
0.56,-0.05789291138074155,44.36676630337146,5,0
0.57,-0.059689289496824345,45.15162046075822,5,0
0.58,-0.061501173499107054,45.93240690742487,5,0
0.59,-0.06332796754644276,46.708959963254095,5,0
0.6,-0.06516907271935955,47.481116131530996,5,0
0.61,-0.06702389051747806,48.24871442669365,5,0
0.62,-0.06889182464172472,49.0115965506008,5,0
0.63,-0.07077228010777088,49.76960683309949,5,0
0.64,-0.07266466341044543,50.522592265412285,5,0
0.65,-0.07456838317782788,51.27040215471915,5,0
0.66,-0.07648285147215325,52.0128872783803,5,0
0.67,-0.07840747948416561,52.74990337525827,5,0
0.68,-0.08034168182924302,53.48130798290778,5,0
0.69,-0.08228487551190032,54.20696139918536,5,0
0.7,-0.08423648009607115,54.92672671109637,5,0
0.71,-0.08619591787538965,55.640469823642036,5,0
0.72,-0.08816260864020758,56.348055961821316,5,0
0.73,-0.09013597949694986,57.049355997668044,5,0
0.74,-0.09211546207333819,57.744244543731085,5,0
0.75,-0.09410048949818585,58.43259789941098,5,0
0.76,-0.09609049821724655,59.11429515390941,5,0
0.77,-0.09808492814687353,59.78921820422639,5,0
0.78,-0.10008322081212255,60.45725103936691,5,0
0.79,-0.10208481196016012,61.1182770132083,5,0
0.8,-0.10408915691915539,61.772188038801474,5,0
0.81,-0.1060957082007959,62.4188763963208,5,0
0.82,-0.10810392211659296,63.0582371038745,5,0
0.83,-0.11011325890270367,63.69016792500328,5,0
0.84,-0.11212318284475291,64.3145693761788,5,0
0.85,-0.11413315882950592,64.9313440508922,5,0
0.86,-0.11614265838266617,65.54039775808418,5,0
0.87,-0.11815115892594819,66.14163936367545,5,0
0.88,-0.12015814091030205,66.73498022588448,5,0
0.89,-0.12216308926883535,67.32033445674192,5,0
0.9,-0.12416549352944604,67.89761892725784,5,0
0.91,-0.1261648483409292,68.46675334514913,5,0
0.92,-0.1281606560945102,69.02766070029125,5,0
0.93,-0.1301524195942015,69.58026596384745,5,0
0.94,-0.13213964863929434,70.12449722882536,5,0
0.95,-0.13412185830657097,70.66028539402556,5,0
0.96,-0.13609856907081097,71.1875641705904,5,0
0.97,-0.1380693069252972,71.70627008855286,5,0
0.98,-0.14003360225658262,72.21634086014062,5,0
0.99,-0.1419909918449305,72.71771786613049,5,0
1,-0.1439410191119727,73.21034633012277,5,0
1.01,-0.14588323284887836,73.69417348846899,5,0
1.02,-0.1478171878956792,74.16914933395462,5,0
1.03,-0.1497424452571677,74.63522661626948,5,0
1.04,-0.15165857088288714,75.09236036409587,5,0
1.05,-0.1535651217395027,75.54050285666663,5,0
1.06,-0.15546168399035035,75.97961725462574,5,0
1.07,-0.1573478408310733,76.40966604110842,5,0
1.08,-0.15922318163336108,76.83061425503324,5,0
1.09,-0.16108730202331464,77.24242947813148,5,0
1.1,-0.16293980395981142,77.64508182197699,5,0
1.11,-0.16478028431193223,78.03854203046947,5,0
1.12,-0.16660835036525362,78.42278399488778,5,0
1.13,-0.16842362563563162,78.79778568072649,5,0
1.14,-0.17022573338536656,79.16352640083979,5,0
1.15,-0.17201430287716798,79.51998781440629,5,0
1.16,-0.17378896940614796,79.86715390636019,5,0
1.17,-0.1755493748188306,80.20501118609178,5,0
1.18,-0.17729517844724968,80.53355357533835,5,0
1.19,-0.17902602961314015,80.85276999375984,5,0
1.2,-0.18074159050641414,81.16265462455293,5,0
1.21,-0.1824415298938354,81.46320404693111,5,0
1.22,-0.1841255231764824,81.75441722702317,5,0
1.23,-0.18579325244721237,82.03629550877201,5,0
1.24,-0.18744441028484526,82.3088437615481,5,0
1.25,-0.18907869552735668,82.57206904483706,5,0
1.26,-0.19069580974315917,82.82597948902297,5,0
1.27,-0.1922954640697199,83.0705863854169,5,0
1.28,-0.19387737688082649,83.30590343726166,5,0
1.29,-0.195441273860567,83.53194675574291,5,0
1.3,-0.1969868879647099,83.74873481004492,5,0
1.31,-0.1985139420093445,83.95628128705597,5,0
1.32,-0.20002219043765931,84.15461210349571,5,0
1.33,-0.20151138544261418,84.34375154535118,5,0
1.34,-0.20298128634938403,84.52372606295924,5,0
1.35,-0.20443165965293225,84.69456425215905,5,0
1.36,-0.20586227905558466,84.85629683544511,5,0
1.37,-0.20727291125759492,85.00895232760654,5,0
1.38,-0.20866332905976057,85.15256097436796,5,0
1.39,-0.21003333280532038,85.28716121705406,5,0
1.4,-0.21138271828130126,85.41278993946591,5,0
1.41,-0.21271128759053448,85.52948573085835,5,0
1.42,-0.21401884911972585,85.63728884603962,5,0
1.43,-0.215305217507524,85.73624116547059,5,0
1.44,-0.21657022722179717,85.8263938142658,5,0
1.45,-0.21781370108028875,85.90778942452113,5,0
1.46,-0.21903547467519488,85.98047585888867,5,0
1.47,-0.22023539052203484,86.04450289578512,5,0
1.48,-0.2214132976936935,86.09992200150992,5,0
1.49,-0.222569051817542,86.14678630669404,5,0
1.5,-0.22370252152869405,86.18515371008351,5,0
1.51,-0.22481358431711054,86.21508484473193,5,0
1.52,-0.22590211263974158,86.23663632860266,5,0
1.53,-0.22696799188046118,86.2498694421567,5,0
1.54,-0.22801111450596662,86.25484727532964,5,0
1.55,-0.22903138009794408,86.2516347209563,5,0
1.56,-0.2300286953852345,86.24029846819522,5,0
1.57,-0.23100296437260703,86.2209022266685,5,0
1.58,-0.2319541105894229,86.19351741892821,5,0
1.59,-0.2328820609090941,86.15821536615051,5,0
1.6,-0.23378674852528683,86.1150686993525,5,0
1.61,-0.2346681135817183,86.0641516406248,5,0
1.62,-0.23552610318190315,86.00553998575921,5,0
1.63,-0.23636066022168178,85.9393064445435,5,0
1.64,-0.23717172685545013,85.86552205900104,5,0
1.65,-0.23795927735586275,85.78426982988296,5,0
1.66,-0.23872327986861044,85.6956288105201,5,0
1.67,-0.23946370849521212,85.59967910385608,5,0
1.68,-0.24018054323459534,85.49650181676314,5,0
1.69,-0.24087376992467746,85.3861790143584,5,0
1.7,-0.24154336988709224,85.26879226338362,5,0
1.71,-0.24218934220607996,85.14442564731205,5,0
1.72,-0.24281168862008204,85.01316365842598,5,0
1.73,-0.24341041505286054,84.87509136994083,5,0
1.74,-0.24398553258058459,84.73029453084199,5,0
1.75,-0.24453705734863496,84.57885951680584,5,0
1.76,-0.24506502016816253,84.42087877718241,5,0
1.77,-0.24556946745245806,84.25645136481516,5,0
