"time","sut.control_force","sut.crane_angle","sut.m_load","sut.desired_angle"
0,0,0,5,0
0.01,0.686622429323091,-2.2679000030750956e-5,5,0
0.02,1.3812491568181022,-9.042321591924778e-5,5,0
0.03,2.083669471117004,-2.029031362501432e-4,5,0
0.04,2.7936564344541726,-3.597572333117564e-4,5,0
0.05,3.5109740937425333,-5.606022702490303e-4,5,0
0.06,4.235405738048074,-8.050758595868964e-4,5,0
0.07,4.966727993970436,-0.0010928039408656862,5,0
0.08,5.704684293404348,-0.001423344866109844,5,0
0.09,6.449038905975148,-0.0017962988627818301,5,0
0.1,7.199532345610432,-0.0022111915548268233,5,0
0.11,7.955918170207013,-0.0026675933131236748,5,0
0.12,8.717953662019433,-0.003165033222857899,5,0
0.13,9.485391827101427,-0.003703061405115081,5,0
0.14,10.258001714749563,-0.004281210533043472,5,0
0.15,11.035542733003384,-0.004899021485133069,5,0
0.16,11.817779849165307,-0.005556015186407682,5,0
0.17,12.604478240951327,-0.006251713911895097,5,0
0.18,13.395404280688075,-0.006985635339428956,5,0
0.19,14.190325928414234,-0.007757291036884975,5,0
0.2,14.98900817837906,-0.008566181729044527,5,0
0.21,15.791220484853861,-0.009411807051716018,5,0
0.22,16.59673290925926,-0.01029366049082151,5,0
0.23,17.40531409075981,-0.011211227311128962,5,0
0.24,18.216726196893596,-0.012163979519238971,5,0
0.25,19.030741492182244,-0.013151392742467596,5,0
0.26,19.847129134071267,-0.014172932777520247,5,0
0.27,20.665663695222964,-0.015228066595590733,5,0
0.28,21.48611956000898,-0.01631625407310046,5,0
0.29,22.30826829442035,-0.01743694411039738,5,0
0.3,23.13188413292509,-0.018589582755090484,5,0
0.31,23.956749274616946,-0.019773625903527253,5,0
0.32,24.782639251010934,-0.0209885076536754,5,0
0.33,25.609333362941634,-0.022233662878464813,5,0
0.34,26.436613841357225,-0.023508526356788084,5,0
0.35,27.26426677170974,-0.02481253527785522,5,0
0.36,28.092075388533246,-0.026145111074889357,5,0
0.37,28.919826080784347,-0.027505675694773298,5,0
0.38,29.747308931638337,-0.028893656136936258,5,0
0.39,30.57431437713071,-0.03030847069052348,5,0
0.4,31.400634047925955,-0.03174953240158508,5,0
0.41,32.22606183846324,-0.033216253583314564,5,0
0.42,33.0503949080624,-0.03470805087053153,5,0
0.43,33.87343068399717,-0.03622433091346303,5,0
0.44,34.694969079895415,-0.03776450096756498,5,0
0.45,35.514812290073834,-0.039327967818924614,5,0
0.46,36.33276475382517,-0.04091413763417782,5,0
0.47,37.14863264423736,-0.042522413685163164,5,0
0.48,37.96222447877746,-0.04415219908767746,5,0
0.49,38.773351002212614,-0.045802896287699395,5,0
0.5,39.58182523099128,-0.047473907269313484,5,0
0.51,40.38746249762434,-0.04916463376263363,5,0
0.52,41.19007985999662,-0.05087447438889306,5,0
